tracker_id,solo_Wins,solo_HeadshotKillsPg
48858,0.037736,0.018182
153755,0.018868,0.016727
21174,0.150943,0.021091
60950,0.018868,0.061818
8017,0.018868,0.042909
9985,0.04717,0.026909
34662,0.179245,0.034182
68696,0.028302,0.024727
94388,0.04717,0.077818
89550,0.04717,0.015273
70341,0.141509,0.073455
45119,0,0.025455
26687,0.009434,0.045091
18634,0.113208,0.016727
6403,0.018868,0.037818
8013,0.09434,0.041455
14147,0.066038,0.112727
70803,0,0
155846,0.066038,0.020364
70251,0.028302,0.019636
13863,0,0.048727
12170,0.018868,0.029818
210924,0.028302,0.032
1340,0,0.014545
9912,0.009434,0.072727
34149,0.037736,0.020364
29075,0.103774,0.020364
6955,0.018868,0.072727
6461,0.04717,0.037818
53097,0.009434,0.019636
3585,0.283019,0.08
39427,0.132075,0.053091
9471,0.009434,0.058182
20526,0.207547,0.024727
95338,0,0.038545
6715,0.009434,0.060364
5171,0.103774,0.042909
13190,0.160377,0.047273
5013,0,0
31975,0.009434,0.036364
133277,0.179245,0.009455
6410,0,0.029091
8664,0.037736,0.122909
178946,0.188679,0.021818
45282,0.009434,0.025455
46683,0,0.059636
100267,0.216981,0.056
23588,0.169811,0.050909
12751,0.075472,0.025455
176078,0.04717,0.020364
9167,0.009434,0.048727
40943,0.141509,0.039273
99178,0.066038,0.024
218109,0.037736,0.043636
46724,0.349057,0.019636
42065,0.169811,0.024727
51115,0.122642,0.018182
1224,0,0.040727
140196,0.04717,0.061818
151467,0.028302,0.021818
35523,0.349057,0.065455
8001,0.037736,0.032727
11154,0.216981,0.059636
1567,0.018868,0.129455
14387,0.028302,0.054545
97432,0,0
5370,0.075472,0.097455
171810,0.037736,0.032
82039,0.150943,0.019636
8751,0.018868,0.018909
179883,0.009434,0.072727
38478,0.018868,0.015273
17161,0,0.048727
47150,0.018868,0.045091
25887,0.009434,0.026182
8541,0.028302,0.044364
49964,0.037736,0.058909
218111,0,0.024
7867,0.009434,0.038545
8757,0.04717,0.019636
547,0.518868,0.031273
13355,0.301887,0.021091
22517,0.084906,0.123636
83899,0.018868,0.021091
84803,0.028302,0.072727
42009,0,0.010182
14351,0.283019,0.025455
6714,0.160377,0.021091
37707,0.009434,0.033455
33049,0.04717,0.031273
5869,0.132075,0.033455
25875,0.207547,0.029091
105782,0.018868,0.036364
35474,0.122642,0.066909
29500,0.198113,0.013091
