tracker_id,solo_Kills,solo_RideDistance
94436,0.020611,0.0206
131568,0.011752,0.014359
13054,0.008317,0.007033
15648,0.000723,0
159438,0.053336,0.043042
154460,0.072862,0.153206
6361,0.003074,0.00576
154843,0.044657,0.243651
26684,0.038329,0.019712
113515,0.084433,0.080435
6923,0.054601,0.08527
93761,0.037606,0.03486
4331,0.01573,0.00839
50581,0.003435,0.001526
12586,0.007955,0.010022
37491,0.044477,0.056895
129410,0.0226,0.020277
7227,0.012475,0.008665
63556,0.036341,0.058519
42436,0.140662,0.147264
127209,0.00217,0.000515
12912,0.113723,0.153629
209237,0.033267,0.101558
2768,0.044296,0.061509
90348,0.052251,0.088246
172372,0.01139,0.003525
15432,0.003074,0.000448
28435,0.003435,0.00498
3125,0.015187,0.019165
18921,0.016091,0.01458
53676,0.18333,0.105445
3149,0.010667,0.009949
193906,0.005424,0.003499
54067,0.018622,0.006654
133070,0.01356,0.013246
205630,0,0
51487,0.00452,0.004978
24644,0.056952,0.151664
8658,0.00687,0.007462
52949,0.007774,0.004828
38459,0.099259,0.1932
209725,0.049177,0.121476
15363,0.021515,0.006463
12666,0.009763,0.007626
104283,0.006147,0.00202
42643,0.002712,0.001657
26692,0.128729,0.257808
122707,0.011752,0.007127
174685,0.186766,0.206682
102623,0.001085,0.000706
9149,0.022781,0.037155
29925,0.019346,0.021995
46091,0.127102,0.168442
45701,0.022238,0.030696
21144,0.030374,0.043722
24085,0.045561,0.168648
14613,0.1403,0.673186
29472,0.038329,0.016632
51134,0.026216,0.004808
20427,0.048273,0.182691
35209,0.013379,0.015157
6495,0.025854,0.056837
22812,0.007232,0.003825
205162,0.043573,0.145596
41426,0.028747,0.021431
209712,0.033267,0.023127
188597,0.012837,0.011274
33379,0.044838,0.188725
118869,0.272464,0.273753
16603,0.063099,0.100252
193788,0.01573,0.009141
35514,0.060929,0.070563
97530,0.022961,0.037145
6054,0.000723,0.001102
95376,0.021877,0.013694
23441,0.005786,0.002502
8399,0.016814,0.017368
109238,0.001085,0.003962
1518,0.007232,0.008124
27542,0.074128,0.081515
12245,0.033809,0.023291
7844,0.001989,0.001022
149903,0.013741,0.015635
39675,0.136323,0.100051
1194,0.189297,0.220074
72769,0.097451,0.068699
12328,0.010667,0.005099
18124,0.004882,0.002614
8717,0.027662,0.079624
14628,0.075755,0.249066
29303,0.141385,0.213935
3428,0.218767,0.27825
9168,0.065449,0.104367
210805,0.014283,0.012988
6458,0.0226,0.115906
149284,0.01573,0.012923
51215,0.037245,0.037937
122430,0.011029,0.012667
75023,0.088592,0.059696
50155,0.031278,0.046244
21896,0.009221,0.001735
124454,0.019165,0.030161
78882,0.01139,0.003018
170122,0.033809,0.083044
15536,0.003797,0.001037
4094,0,0.000161
30728,0.018622,0.087899
112625,0.1177,0.12335
6383,0.016634,0.018999
185251,0.036702,0.007096
98953,0.026216,0.029931
28899,0.126198,0.135503
31838,0.149702,0.303373
19197,0.040137,0.16414
98868,0.016814,0.011322
9707,0.000904,0
109443,0.015549,0.017383
111238,0.212439,0.124337
8254,0.010667,0.008469
76508,0.007232,0.00989
90062,0.014102,0.003838
92533,0.02495,0.016147
26453,0.071054,0.104777
14148,0.00687,0.000526
43546,0.070512,0.06407
1429,0.117339,0.144775
158203,0.034533,0.111982
18833,0.013741,0.016909
18081,0.024227,0.034736
47837,0.021515,0.040648
1269,0.012294,0.01483
3396,0.007774,0.003761
65352,0.036341,0.040593
14826,0.013018,0.005326
119762,0.001808,0.001453
7120,0.02043,0.010672
13417,0.00217,0.001725
71715,0.009221,0.01135
30123,0.014102,0.010785
12353,0.021515,0.076337
9070,0.050081,0.101875
46942,0.024589,0.024905
45976,0.012656,0.016897
20739,0.044115,0.011721
172104,0.012114,0.005315
202288,0.037064,0.018614
81085,0.001085,0.000171
49389,0.03616,0.116082
208013,0.04972,0.129172
6718,0.001808,0
176343,0.047912,0.187129
85766,0.006509,0.001787
770,0.005424,0.00603
45808,0.011571,0.005051
122783,0.041945,0.033215
1638,0.016091,0.023387
47550,0.005786,0.008898
33009,0.113903,0.097043
23938,0.101609,0.330038
9238,0.016634,0.006994
12297,0.019888,0.026874
13722,0.01356,0.013817
60445,0.013922,0.016576
15320,0.021877,0.010769
22773,0.064726,0.377652
12251,0.01356,0.004241
6078,0.024408,0.025842
16696,0.061833,0.066775
54187,0.004339,0.008598
44743,0.222745,0.23631
10399,0.022961,0.007533
198570,0.070873,0.136781
49127,0.008136,0.003567
19623,0.023685,0.020688
103356,0.005243,0.02296
15876,0.004882,0.006011
146874,0.037245,0.081259
16631,0.021877,0.009722
8596,0.075936,0.200034
23347,0.000362,0
14146,0.046827,0.006692
49269,0.064184,0.146278
29315,0.017899,0.010116
13467,0.000904,0.00156
212939,0.027843,0.076161
46546,0.003797,0.013606
91029,0.045561,0.120628
31871,0.008136,0.008002
111032,0.036341,0.065861
114766,0.009582,0.013582
107599,0.010667,0.024362
47235,0.016995,0.010582
137809,0.003074,0.001267
8407,0.122943,0.194098
103194,0.036341,0.033178
24448,0.012656,0.010687
8059,0.0226,0.017938
167607,0.018622,0.007628
3127,0.000542,0.001043
15947,0.030374,0.04155
6886,0.036521,0.034345
53926,0.011752,0.0114
145816,0.02495,0.021953
7255,0.024408,0.02537
12758,0.040499,0.014168
188961,0.070512,0.012768
47358,0.039053,0.069909
97476,0.008498,0.033021
33792,0.005424,0.003488
2175,0.00217,0.003968
6970,0.008678,0.00795
25454,0.032363,0.006686
40516,0.007413,0.008998
24523,0.05876,0.163013
16621,0.052251,0.108307
213964,0.058037,0.069959
31474,0.026397,0.030204
215256,0.03164,0.023556
108001,0.064003,0.12114
117902,0.00687,0.002722
107122,0.006328,0.007515
5659,0.035617,0.022755
108450,0.0226,0.025764
14083,0.040137,0.037568
129088,0.000904,0.000022
164478,0.0226,0.032792
187561,0.07919,0.122442
1234,0.080998,0.068454
101732,0.15169,0.191526
578,0.003435,0
79368,0.023504,0.041746
19267,0.028747,0.116987
25922,0.023685,0.062918
128085,0.00669,0.000918
3687,0.013379,0.00891
32445,0.023323,0.00939
16394,0.012114,0.005641
4240,0.166154,0.085996
90268,0.025673,0.040695
12723,0.036341,0.014279
31468,0.022781,0.028298
121779,0.047912,0.091701
43299,0.11318,0.167027
15749,0.134695,0.233319
70318,0.042849,0.055271
22431,0.064003,0.041625
122393,0.015187,0.008445
41823,0.024769,0.049075
19462,0.004882,0.002931
45896,0.000362,0.001147
117188,0.077924,0.099217
8939,0.061291,0.014157
53497,0.011029,0.031446
177499,0.051528,0.152401
95346,0.051889,0.11689
45393,0.009763,0.003784
193946,0.041403,0.075391
42120,0.001446,0.000294
23320,0.002893,0.003535
202537,0.030374,0.062982
206242,0.028385,0.088658
209130,0.042307,0.008903
18714,0.000181,0
9723,0.003797,0.001521
182617,0.12674,0.38396
216890,0.026758,0.02295
24942,0.084976,0.16357
29755,0.006509,0.000935
212914,0.007051,0.01069
134180,0.054059,0.082893
213265,0.011029,0.021387
25064,0.007594,0.011246
68605,0.007413,0.012309
54088,0.036702,0.030068
14440,0.009221,0.007454
153854,0.019526,0.034612
149900,0.017718,0.039395
129924,0.007955,0.004667
21123,0.012837,0.006957
153657,0.017718,0.01305
41967,0.088592,0.191776
160233,0.007774,0.004801
9140,0.182246,0.053821
211836,0.009402,0.009942
29701,0.068884,0.08076
54082,0.026577,0.023066
24453,0.013741,0.02147
24769,0.00217,0.004108
63803,0.061653,0.126994
208908,0.110468,0.137716
171282,0.089315,0.091209
20512,0.009402,0.01429
33446,0.03399,0.046258
4110,0.157295,0.336166
193679,0.00452,0.008699
41243,0.024408,0.055262
7311,0.026035,0.009596
7522,0.108841,0.100395
209308,0.016995,0.088805
34330,0.010125,0.005839
91223,0.027662,0.059839
19728,0.008317,0.016758
48523,0.04972,0.295251
2416,0.019707,0.006096
9375,0.059121,0.032908
136377,0.068884,0.053338
42813,0.015549,0.033442
146721,0.007413,0.005066
22073,0.007594,0.001967
21649,0.007955,0.015961
98289,0.038329,0.02734
23533,0.002531,0.002609
72412,0.024227,0.092108
22648,0.014283,0.022454
113524,0.015187,0.002951
171388,0.028928,0.07981
36551,0.033809,0.054751
33940,0.034713,0.049127
32876,0.031097,0.065083
49700,0.016995,0.013844
2126,0.013018,0.014631
50906,0.001446,0
85189,0.019165,0.016177
30205,0.246791,0.167798
86742,0.04972,0.090499
22403,0.016634,0.010372
8420,0.020611,0.02824
58609,0.005424,0.002625
5874,0.039414,0.036066
214667,0.005062,0.012807
44239,0.00669,0.005932
23167,0.011933,0.011645
36791,0.053155,0.074747
205421,0.092027,0.153957
203270,0.029289,0.015683
126184,0.020792,0.025261
8523,0.006509,0.008354
171558,0.075212,0.091988
37300,0.010125,0.006588
13221,0.092027,0.035155
136352,0.060387,0.098075
27150,0.01808,0.019555
115586,0.037245,0.049231
199359,0.027662,0.033644
12323,0.013922,0.014191
